state,count,state_id
Alabama,91,1
Alaska,20,2
Arizona,84,4
Arkansas,95,5
California,402,6
Colorado,121,8
Connecticut,15,9
Delaware,5,10
Florida,292,12
Georgia,121,13
Idaho,81,16
Illinois,232,17
Indiana,75,18
Iowa,56,19
Kansas,42,20
Kentucky,112,21
Louisiana,40,22
Maine,14,23
Maryland,34,24
Massachusetts,27,25
Michigan,208,26
Minnesota,69,27
Mississippi,21,28
Missouri,141,29
Montana,45,30
Nebraska,15,31
Nevada,7,32
New Hampshire,13,33
New Jersey,63,34
New Mexico,40,35
New York,102,36
North Carolina,79,37
North Dakota,4,38
Ohio,276,39
Oklahoma,85,40
Oregon,241,41
Pennsylvania,111,42
Rhode Island,5,44
South Carolina,38,45
South Dakota,11,46
Tennessee,91,47
Texas,215,48
Utah,57,49
Vermont,9,50
Virginia,72,51
Washington,563,53
West Virginia,100,54
Wisconsin,80,55
Wyoming,27,56
